Fecha;Encuestador;Latitud;Longitud;Barrio;Partido;Fuente
2026-04-11T14:20:12.294Z;;-27.404143;-56.861287;San jose mi;Partido Colorado;11 y santiago.csv
2026-04-11T14:25:04.272Z;;-27.404218;-56.861888;San José mi ;Partido Colorado;11 y santiago.csv
2026-04-11T14:22:48.866Z;;-27.404739;-56.861139;San jose mi;Partido Colorado;11 y santiago.csv
2026-04-11T14:29:48.750Z;;-27.404918;-56.861864;San José mi ;Partido Colorado;11 y santiago.csv
2026-04-11T14:32:27.597Z;;-27.405186;-56.861895;San José Mi ;Partido Colorado;11 y santiago.csv
2026-04-11T14:48:29.234Z;;-27.405595;-56.863396;San jose mi;Partido Colorado;11 y santiago.csv
2026-04-11T14:37:18.667Z;;-27.405783;-56.862095;San José Mí;Partido Colorado;11 y santiago.csv
2026-04-11T14:45:34.338Z;;-27.405791;-56.863448;;Partido Colorado;11 y santiago.csv
2026-04-11T14:32:41.979Z;;-27.405829;-56.860921;San José Mí;Partido Colorado;11 y santiago.csv
2026-04-11T14:44:22.181Z;;-27.406132;-56.862433;San jose mi ;Partido Colorado;11 y santiago.csv
2026-04-11T14:39:38.883Z;;-27.406163;-56.861866;San jose mi;Partido Colorado;11 y santiago.csv
2026-04-11T14:36:43.860Z;;-27.406357;-56.862041;San José Mí;Partido Colorado;11 y santiago.csv
2026-04-13T16:31:55.537Z;Santiago;-27.411799;-56.963566;Compañia Coratei;Partido Colorado;11 y santiago.csv
2026-04-13T16:36:12.003Z;Santiago;-27.413341;-56.96319;Compañia Coratei;Partido Colorado;11 y santiago.csv
2026-04-13T16:39:40.834Z;Santiago;-27.413493;-56.963423;Compañia Coratei;Partido Colorado;11 y santiago.csv
2026-04-13T16:44:49.314Z;Santiago;-27.415453;-56.963345;Compañia Coratei;Partido Colorado;11 y santiago.csv
2026-04-16T12:40:28.240Z;Mabel;0.0;0.0;;;ENCUESTA TODO.csv
2026-04-13T11:26:54.786Z;Mabel;-27.382033;-56.845038;NÃºcleo 1;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T11:27:48.584Z;Miguel;-27.382515;-56.846116;NÃºcleo 1;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T11:39:56.294Z;Mabel;-27.382117;-56.846223;NÃºcleo 1;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T11:51:41.130Z;Miguel;-27.384104;-56.846003;NÃºcleo 1;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T11:56:06.274Z;Miguel;-27.384224;-56.846738;NÃºcleo 1;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T11:58:20.577Z;Miguel;-27.384531;-56.846702;NÃºcleo 1;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:01:59.560Z;Miguel;-27.38465;-56.845806;NÃºcleo 1;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:03:46.950Z;Miguel;-27.384654;-56.845736;NÃºcleo 1;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:23:31.396Z;Mabel;-27.382538;-56.845171;;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:32:04.867Z;Mabel;-27.384031;-56.848677;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:32:25.831Z;Miguel;-27.386516;-56.847158;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:34:25.633Z;Mabel;-27.384233;-56.848688;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:40:20.752Z;Mabel;-27.38441;-56.849073;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:42:04.446Z;Miguel;-27.386119;-56.847825;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:43:20.114Z;Miguel;-27.386086;-56.847862;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:43:20.130Z;Mabel;-27.384571;-56.849468;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:49:40.605Z;Mabel;-27.384351;-56.849567;NÃºcleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:51:43.340Z;Miguel;-27.385815;-56.847156;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:57:21.764Z;Miguel;-27.385223;-56.848654;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T12:57:49.847Z;Mabel;-27.383827;-56.849283;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:01:27.430Z;Mabel;-27.383603;-56.849265;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:03:04.893Z;Miguel;-27.38437;-56.848983;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:09:43.712Z;Mabel;-27.383557;-56.848759;NÃºcleo 2;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:18:53.369Z;Miguel;-27.38683;-56.849981;NÃºcleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:22:52.845Z;Miguel;-27.386954;-56.850053;NÃºcleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:26:40.159Z;Miguel;-27.387002;-56.849787;NÃºcleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:32:47.367Z;Mabel;-27.38556;-56.851596;NÃºcleo 4;;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:34:00.167Z;Miguel;-27.387935;-56.848713;NÃºcleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:35:39.257Z;Mabel;-27.385635;-56.851615;NÃºcleo 4;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:36:00.730Z;Miguel;-27.387778;-56.848295;NÃºcleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:37:41.872Z;Miguel;-27.387781;-56.848316;NÃºcleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:38:46.185Z;Mabel;-27.385293;-56.851115;NÃºcleo 4;;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:42:39.971Z;Mabel;-27.385331;-56.851044;;;REPORTE_AYER_13_ABRIL.csv
