Timestamp;ENCUESTADOR ;;Datos DemogrÃ¡ficos (Seleccione mÃºltiples);Â¿A quÃ© partido pertenece o tiene afinidad?;Latitud;Longitud;Barrio o CompaÃ±Ã­a;CalificaciÃ³n: GestiÃ³n del Intendente Municipal;CalificaciÃ³n: GestiÃ³n del Presidente de la RepÃºblica;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;Â¿QuÃ© servicio pÃºblico debe mejorar la municipalidad?
2026-04-13T14:17:51.687Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.859.018;-568.455.906;NÃºcleo 3;Excelente;Buena;Christian Rolon;;Agua caminos 
2026-04-13T13:20:50.873Z;Santiago;;Mujer,Adulto Mayor;Partido Colorado;-273.862.357;-568.507.611;NÃºcleo 3;Mala;Buena;;Doctora talavera;Todo
2026-04-13T13:20:00.226Z;Santiago;;Mujer,Joven;Partido Colorado;-273.862.694;-568.506.917;NÃºcleo 3;Buena;Mala;Christian Rolon;;Todo
2026-04-13T14:25:48.881Z;Santiago;;Mujer,Joven;Partido Colorado;-273.862.757;-568.455.747;NÃºcleo 3;Buena;Buena;Jose Mutti;Hugito ramirez ;Cuidado de Ã¡reas verdes 
2026-04-13T14:04:18.037Z;Santiago;;Varón,Mayor;Partido Colorado;-273.862.866;-568.447.454;NÃºcleo 3;Excelente;Excelente;;Ns nr ;RecolecciÃ³n y eliminaciÃ³n de basura 
2026-04-13T13:49:41.122Z;Santiago;;Mujer;Partido Colorado;-273.863.591;-568.477.741;NÃºcleo 4;Buena;Buena;;;RecolecciÃ³n 
2026-04-13T14:32:15.005Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.866.716;-568.463.551;NÃºcleo 3;Muy Mala;Mala;Jose Mutti;Ramon palacios ;RecolecciÃ³n, trabajos 
2026-04-11T18:00:43.036Z;;;Varón,Adulto Mayor;Partido Colorado;-273.871.118;-568.643.145;Yataity;Mala;Mala;Jose Mutti;Wilfrido Jacquet ;Agua
2026-04-11T18:08:24.625Z;;;Mujer,Mayor;Partido Colorado;-273.871.182;-56.863.616;Yataity;Mala;Mala;Christian Rolon;Luis cuellar;Agua
2026-04-11T18:14:42.287Z;;;Varón,Mayor;Partido Colorado;-273.872.072;-568.625.858;Yataity;Mala;Mala;;;
2026-04-11T18:29:54.775Z;;;Varón,Mayor;Partido Colorado;-273.872.074;-568.639.445;Yat;NS/NR;NS/NR;Jose Mutti;Sofia Troche;
2026-04-11T18:32:08.950Z;;;Mujer,Mayor;Partido Colorado;-273.872.311;-568.612.082;Yataity;Mala;Mala;Christian Rolon;WILLIAN AQUINO ;Agua
2026-04-13T13:54:21.664Z;Santiago;;;Partido Colorado;-273.872.379;-568.463.134;NÃºcleo 3;Excelente;Buena;;;Salud 
2026-04-11T18:02:14.274Z;;;Varón,Joven;Partido Colorado;-273.872.527;-568.643.984;Yataity;Excelente;Excelente;Jose Mutti;Ning;Basura 
2026-04-11T18:05:45.827Z;;;Mujer,Joven;Partido Colorado;-27.387.259;-568.642.477;Yataity;Buena;Buena;Christian Rolon;N;Basura humo
2026-04-11T18:18:46.748Z;;;Mujer,Mayor;Partido Colorado;-273.873.417;-568.631.542;Yataity;Mala;Muy Mala;;Sofia Troche;Agua
2026-04-11T18:18:55.308Z;;;Mujer,Mayor;Partido Colorado;-273.873.947;-568.619.433;Yataity;Muy Mala;Mala;Jose Mutti;Arnildo Bernal;Camino vecinal
2026-04-11T17:51:19.579Z;;;Varón,Mayor;Partido Colorado;-273.874.323;-568.650.945;Yataity;Buena;Buena;Jose Mutti;Miguel Amarilla;Agua
2026-04-13T13:56:12.264Z;Santiago;;Varón,Joven;Partido Colorado;-273.874.514;-568.463.448;NÃºcleo 3;Buena;Mala;Christian Rolon;Diosnel bogado ;Agua 
2026-04-11T18:29:40.058Z;;;Varón,Mayor;Partido Colorado;-273.876.085;-568.614.375;Yataity;Muy Mala;Muy Mala;Christian Rolon;;Agua
2026-04-11T18:27:03.690Z;;;Varón,Mujer,Mayor;Partido Colorado;-273.876.335;-568.624.865;Yataity;Buena;Mala;Christian Rolon;William Rodriguez ;Agua
2026-04-11T18:31:54.022Z;;;Varón,Mayor;Partido Colorado;-273.877.455;-568.648.868;Yataity;Buena;Buena;Christian Rolon;Ning;Caminos
2026-04-11T17:43:56.205Z;;;Varón,Mayor;Partido Colorado;-27.387.793;-568.650.059;Virgen del pilar ;Buena;Buena;Jose Mutti;Arnildo bernal ;
2026-04-11T17:47:56.559Z;;;Mujer,Mayor;Partido Colorado;-273.877.992;-568.649.857;Yataity;Buena;Buena;Christian Rolon;Carlos Marin ;Agua
2026-04-11T17:49:04.745Z;;;Mujer,Joven;Partido Colorado;-273.881.164;-568.651.588;Yataity;NS/NR;Mala;Jose Mutti;Mario CaÃ±ete;Humo
2026-04-11T17:36:06.641Z;Santiago;;Varón,Adulto Mayor;Partido Colorado;-27.388.738;-568.659.997;Virgen del pilar ;Buena;Buena;Christian Rolon;;Todo
2026-04-11T17:39:29.558Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.887.687;-568.662.449;;Muy Mala;Muy Mala;Jose Mutti;Marin ;Agua 
2026-04-11T18:41:23.737Z;Santiago;;Mayor;Partido Colorado;-273.897.576;-568.561.817;Santa ana;Mala;Buena;;;Salud
2026-04-11T18:38:26.812Z;Santiago;;Mujer;Partido Colorado;-273.897.718;-568.558.318;Santa ana ;Muy Mala;Muy Mala;Jose Mutti;;AlimentaciÃ³n escolar 
2026-04-11T18:33:11.082Z;;;Mujer,Joven;Partido Colorado;-2.739.021.000.226.260;-568.560.579.845.082;Santa Ana ;Mala;Mala;Jose Mutti;Ninguno ;Agua 
2026-04-11T18:29:31.121Z;;;Varón,Mayor;Partido Colorado;-27.390.318.756.353.500;-5.685.625.560.580.590;Santa Ana ;Mala;Mala;;Ninguno ;Agua 
2026-04-11T18:25:22.261Z;Santiago;;Mujer;Partido Colorado;-273.903.947;-568.566.395;Santa ana;Mala;Muy Mala;Gabriel Alfonso;;Agua potable 
2026-04-11T18:29:18.252Z;Santiago;;Varón;Partido Colorado;-273.904.187;-568.557.425;Santa ana ;Mala;Mala;Jose Mutti;Marin;Agua potable 
2026-04-11T18:26:47.407Z;;;Varón,Mayor;Partido Colorado;-27.390.431.572.250.100;-5.685.657.000.023.170;Santa Ana ;Mala;Muy Mala;Jose Mutti;Ninguno ;Agua 
2026-04-11T18:18:03.738Z;Santiago;;Mujer;Partido Colorado;-273.904.974;-568.569.823;;Muy Mala;Muy Mala;Jose Mutti;Sofi;Agua potable
2026-04-11T14:19:20.410Z;;;Mujer,Mayor;Partido Colorado;-273.904.993;-568.423.842;San antonio;Muy Mala;Muy Mala;Jose Mutti;Diosnel Bogado;Recoleccion de Basura
2026-04-11T18:18:39.622Z;;;Mujer,Mayor;Partido Colorado;-2.739.057.270.123.670;-5.685.716.673.695.740;Santa Ana ;Mala;Muy Mala;;Ninguna ;Camino 
